,g++,g++ -O1,g++ -O2,g++ -O3,g++ -Ofast,aocc,aocc -O1,aocc -O2,aocc -O3,aocc -Ofast,intel,intel -O1,intel -O2,intel -O3,intel -Ofast,rustc,rustc -1,rustc -2,rustc -3
0,3.554854604000866,3.786739815001056,3.827097669000068,3.4491947799997433,3.4810075019995566,3.4977333520000684,3.4324329090013634,3.4148028770014207,3.4287280139997165,3.484094907000326,7.4884585900017555,7.0627212960007455,7.03482600100142,7.838243907001015,7.000888616001248,3.088955243998498,3.129533731000265,3.2460109329986153,3.128958335999414
1,3.6543454530001327,3.726556239000274,3.8433853429996816,3.367420975000641,3.4110328990009293,3.5535858490002283,3.4436523759995907,3.423828421999133,3.506114763000369,3.6942523420002544,7.332650496000497,7.225863489000403,7.07089177799935,7.865840312999353,6.921174561999578,3.1743275259996153,3.5189723750008852,3.5383782029985014,3.2475254030014185
2,3.758907868001188,3.811134972000218,3.682723818999875,3.4694122439996136,3.3284889589995146,3.5545787969986122,3.370925556999282,3.7137453270006517,3.4098055649992602,3.548910645000433,7.694699423000202,7.016581354000664,7.094245903999763,7.050329796000369,7.220994274999612,3.3909809199994925,3.3349564189993544,3.4452573500002472,3.265212636999422
3,3.8935138400011056,3.8131179669999256,3.9596440229997825,3.4737964180003473,3.513136518000465,3.6678731560004962,3.350896099998863,3.3023145560000557,3.460071894000066,3.4183780349994777,8.128058886999497,7.021479027000169,6.99050761000035,7.10023131699927,7.024306866998813,3.5463828679985454,3.5334981649994006,3.4794764050002414,3.1842847619991517
4,3.863933643000564,3.960614612999052,3.8016224450002483,3.2063935620008124,3.507141894000597,3.533002899001076,3.455041840001286,3.3523043929999403,3.4770483570009674,3.527761149000071,6.934219525001026,7.680635029999394,6.997641818001284,7.009977193998566,7.101341513000079,3.4506705990006594,3.421952369999417,3.3312650119987666,2.9501904440003273
5,3.75779842799966,3.737147313000605,3.74045095800102,3.340191027999026,3.419265255999562,3.252965775998746,3.3923058700002002,3.3082747170010407,3.3502734180001426,3.594932231999337,7.068282669999462,8.172471440000663,7.187744758999543,6.99230443200031,7.05755347000013,3.463804250999601,3.533394584999769,3.3315499920008733,3.1503114749993983
6,3.6453300670000317,3.7531612290003977,3.5162126920004084,3.385472216999915,3.392538426998726,3.50919094800156,3.3131564280010934,3.3950975200004905,3.308459394000238,3.5078781379997963,8.131479282999862,7.384990082999138,7.05982477499856,7.025050385000213,7.000225376001254,3.088315008000791,3.5455392060011945,3.3992426919994614,3.122741679000683
7,3.889565973999197,3.8601316659987788,3.5553005780002422,3.2709964089990535,3.3311853439990955,3.4025056320006115,3.3564005299995188,3.314245260999087,3.4940518160001375,3.5277885959985724,8.049199757000679,6.98434299300061,7.03627828900062,7.215589109000575,6.867932262999602,3.462544407999303,3.527989666999929,3.121715753000899,3.1467073280000477
8,3.9384648270006437,3.7845918640014133,3.2187655709985847,3.137957610999365,3.6111680819994945,3.3803153640001256,3.5073871580007108,3.461283197000739,3.415844097000445,3.530818487999568,7.027038728998377,7.200578317999316,7.060788041999331,6.928436875999978,7.3056770539988065,3.5912760330011224,3.32251194499986,2.7907742310017056,3.1552215430001525
9,3.7067745160002232,3.859593627999857,3.5260779969994474,3.460628294000344,3.5644242119997216,3.478728898000554,3.584516345999873,3.3375649159988825,3.7100110850005876,3.3163989950007817,7.18519222300165,6.79291809300048,7.1219362409992755,6.958206647999759,8.266606179000519,2.7701817300003313,3.3982557700001053,3.1412417530009407,2.936459927001124
min,3.554854604000866,3.726556239000274,3.2187655709985847,3.137957610999365,3.3284889589995146,3.252965775998746,3.3131564280010934,3.3023145560000557,3.308459394000238,3.3163989950007817,6.934219525001026,6.79291809300048,6.99050761000035,6.928436875999978,6.867932262999602,2.7701817300003313,3.129533731000265,2.7907742310017056,2.936459927001124
max,3.9384648270006437,3.960614612999052,3.9596440229997825,3.4737964180003473,3.6111680819994945,3.6678731560004962,3.584516345999873,3.7137453270006517,3.7100110850005876,3.6942523420002544,8.131479282999862,8.172471440000663,7.187744758999543,7.865840312999353,8.266606179000519,3.5912760330011224,3.5455392060011945,3.5383782029985014,3.265212636999422
mean,3.766348922000361,3.8092789306001578,3.6671281094999357,3.356146353799886,3.4559389092997663,3.4830480671002078,3.420671511400178,3.402346118600144,3.4560408403001928,3.515121352699862,7.5039279583003005,7.254258112300159,7.06546852169995,7.198420997699941,7.176670017499964,3.302743858699796,3.426660423300018,3.2824912324000253,3.128761353400114
