,g++,g++ -O1,g++ -O2,g++ -O3,g++ -Ofast,aocc,aocc -O1,aocc -O2,aocc -O3,aocc -Ofast,intel,intel -O1,intel -O2,intel -O3,intel -Ofast,rustc,rustc -1,rustc -2,rustc -3
0,5.82083543400222,2.3982370930025354,2.3995750449976185,2.3672728470046422,1.7825935740038403,5.857798140998057,2.4193934290015022,2.240222877000633,2.3039986900039366,2.0456933509994997,2.294648759998381,2.385875826999836,2.6211187719964073,2.4646498820002307,2.1720827739991364,14.62484939800197,14.220347679001861,14.443236484003137,14.277367640002922
1,6.279384541005129,2.397238028002903,2.3940746989974286,2.4031834049965255,1.790653182004462,5.9026330079941545,2.4668716590022086,2.2524250440037576,2.280423249998421,2.0551495930048986,2.30104080500314,2.4298513699977775,2.434212706000835,2.3532117220020154,2.1556576270013466,14.565170945003047,14.253121161993477,14.607149086994468,14.22170644000289
2,7.420391106999887,2.4483863319983357,2.415717215000768,2.368709858004877,1.7928368649954791,5.871944655998959,2.4200145680006244,2.2195326310029486,2.2365592240021215,2.027311281002767,2.3077134780032793,2.485505224998633,2.502863977002562,2.4734627729994827,2.1442861550021917,14.937211189004302,14.272575873001188,14.308579175994964,14.258146954998665
3,6.181868320003559,2.435032189001504,2.4230605789998663,2.3688188509986503,1.7846828549954807,5.801251251003123,2.372357922999072,2.261728173994925,2.2339451770021697,2.0349719790028757,2.306245186999149,2.575035879002826,3.0884998199981055,2.4229695910034934,2.189923441001156,14.445039500002167,14.281049283999891,14.257373109001492,14.243243670003721
4,5.726667548995465,2.3947881999993115,2.4343012099998305,2.374529355998675,1.7680571820019395,6.023258757995791,2.398690512003668,2.226985045002948,2.2633399309997912,2.0514805909988354,2.279873409999709,2.438636492996011,3.081375410001783,2.4688544610035024,2.115298126002017,14.288028721995943,14.201555024003028,14.266059957000834,14.257937774003949
5,5.74342444800277,2.406651797995437,2.444107584997255,2.3794165540020913,1.7862353429954965,5.939082885000971,2.3431657059991267,2.2522398919973057,2.226192154994351,2.032780607994937,2.2796037750013056,2.589949853994767,3.00623576399812,2.298586837001494,2.0968700459998217,14.29375412799709,14.23851234799804,14.291122991999146,14.294454549002694
6,5.714911352995841,2.4007188030009274,2.3923483440012205,2.3785717520004255,1.7981610909992014,5.808953014005965,2.363194764999207,2.23620867900172,2.2458735019972664,2.0280638449985418,2.2757300800003577,2.55643467399932,2.5223830079994514,2.325666167002055,2.1289082310031517,14.211869465005293,14.322308580005483,14.269697073003044,14.269777580004302
7,5.885357616003603,2.458218936997582,2.4282199740046053,2.368688695001765,1.8171397980040638,5.898355459998129,2.3472897090032347,2.239099572005216,2.261665983001876,2.0325455959973624,2.3173045229996205,2.5850523289991543,2.478379986998334,2.3352568600021186,2.1303705829996034,14.248876434998238,14.282763985000202,14.250699787000485,14.35590251100075
8,5.754985794003005,2.4120589410013054,2.4041006150000612,2.3979846549991635,1.8142651039961493,6.271699058001104,2.3698103499991703,2.240588085995114,2.244986231002258,2.047030443995027,2.304565026999626,2.4660759570033406,2.415830869002093,2.363735399005236,2.1135865850010305,14.302967135998188,14.418260673999612,14.334163633997377,14.485643969004741
9,5.635569625002972,2.4476275049964897,2.4023012230027234,2.3686812079977244,1.7877558179970947,5.900063599998248,2.37753475199861,2.266769984998973,2.2262561280003865,2.0335289729991928,2.2904154319985537,2.5132633649991476,2.3236045929952525,2.300210289999086,2.1135446620028233,14.340066191005462,14.300954637001269,14.224294180996367,14.434845983996638
min,5.635569625002972,2.3947881999993115,2.3923483440012205,2.3672728470046422,1.7680571820019395,5.801251251003123,2.3431657059991267,2.2195326310029486,2.226192154994351,2.027311281002767,2.2757300800003577,2.385875826999836,2.3236045929952525,2.298586837001494,2.0968700459998217,14.211869465005293,14.201555024003028,14.224294180996367,14.22170644000289
max,7.420391106999887,2.458218936997582,2.444107584997255,2.4031834049965255,1.8171397980040638,6.271699058001104,2.4668716590022086,2.266769984998973,2.3039986900039366,2.0551495930048986,2.3173045229996205,2.589949853994767,3.0884998199981055,2.4734627729994827,2.189923441001156,14.937211189004302,14.418260673999612,14.607149086994468,14.485643969004741
mean,6.016339578701445,2.419895782599633,2.4137806489001377,2.377585718100454,1.7922380811993208,5.9275039830994505,2.3878323373006425,2.243579998500354,2.252324027100258,2.0388556260993935,2.2957140477003124,2.5025680972990814,2.6474504905992946,2.3806603982018713,2.136052823001228,14.42578331090117,14.279144924600406,14.325237547999132,14.309902707202127
